reviewId,neg,neu,pos,compound,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,sortOrder,appId
c657f85d-9825-4771-bf54-ef3eb6a6deb6,0.0,0.767,0.233,0.5499,Monica Benford,https://play-lh.googleusercontent.com/a/AATXAJwbS4Kc6LkEp2smsUlHNxPYJV1Kz0Z5P862AHW3=mo,"The clothes are cute and awesome but this app just times out, doesnt populate or crashes constantly.",1,4,6.20.2,2022-05-16 19:27:38,"Dear customer,

Thank you for your feedback.

We are very glad to hear that you like this item.

If you have any questions or need more information, please feel free to contact us (service@yoins.com).

Have a nice day!

Customer Service Team",2022-05-21 09:06:06,newest,com.yoinsapp
52197929-b295-4d25-a6b5-c59e4ee56255,0.237,0.443,0.32,0.3958,Kris Ten,https://play-lh.googleusercontent.com/a/AATXAJz17fPJGoT1vti0QrN_ADrNzMrZT708ZDUKRn4B=mo,FAAAAKEEE! THERE IS NO GIFT FOR FREE NEW USERS. NOT VERY WELCOMING APP.,1,0,6.20.1,2022-01-03 08:32:24,"Dear customer,

We are sorry to give you such an impression. The free gift for new users has ended.

If you have any inquiries, please do not hesitate to contact us at any time. Would you please contact us at vipservice@yoins.com？

Best regards,
Yoins Team",2022-01-08 07:30:47,newest,com.yoinsapp
0b53f3a0-4ead-45e6-a52e-ac6fa94b9375,0.336,0.664,0.0,-0.9126,Stevie MarieM,https://play-lh.googleusercontent.com/a-/AOh14Gj9D08WxslCyvLsz_Pyo-RYvmQiOwU_ruo58bfk,"The clothes are not even good for the price, it's boring it's a off off brand shein the clothes are so ugly and they don't have many options I hate it",1,1,,2021-12-09 04:34:35,"Dear customer,

We are sorry for leaving you such an impression.We show all the policies on our website .If there is any question,no matter Pre-sales or after-sales issues.If you have any inquiries, please do not hesitate to contact us at vipservice@yoins.com.

Best regards,
Yoins Team",2021-12-11 07:00:21,newest,com.yoinsapp
da9563c0-569c-4f14-986b-f89ee20f4efd,0.0,0.323,0.677,0.6369,Harcharan Sunita,https://play-lh.googleusercontent.com/a/AATXAJz2__1WucHyBNKU9kV1WyHNa5A0kiNUH4rZzGuX=mo,I love the dresses😍,1,0,6.19.0,2021-10-22 18:36:48,"Dear customer,

We are glad you are satisfied with our items. Your satisfaction is our biggest motivation. Have a nice day!

Best regards,
Yoins Team",2021-10-24 10:40:35,newest,com.yoinsapp
5bae1d99-d594-4503-ab8d-8e26eff763c5,0.104,0.827,0.069,-0.6209,adelaide de thierry,https://play-lh.googleusercontent.com/a/AATXAJx-xsaLgAnsaDtn-xUc5XQFos4A-XaUJIzm0nW3=mo,Useless!! 😠 Useless customer service! When I try to track my parcel using the tracking link it shows the number doesn't even exist in the system and it's been nearly 2 weeks since completing my order. When I message Yoins asking about the progress of my parcel they just send me instructions on how to track my parcel which I already know how to do! Then I message back again and again and still no answer!! Unbelievable! I will never order from them again!!,1,23,6.19.0,2021-10-13 23:43:57,"Dear customer,

Thank you for choosing Yoins and we apologize for any inconvenience caused.

Due to insufficient information, and in order to safeguard your personal information. We regret to inform you that we are not able to assist you in a better way here. Would you please contact us at vipservice@yoins.com.

Best regards,
Yoins Team",2021-10-15 12:19:21,newest,com.yoinsapp
659a8c76-fd98-4072-b4f5-2f97fb167a9c,0.306,0.694,0.0,-0.296,Mukul Bhutani,https://play-lh.googleusercontent.com/a-/AOh14GhMogzRH0iWVLqcV3frIwEUlGdp1GijmqOiudzctA,NO DELEIVER OPTION FOR MY COUNTY,1,0,,2021-10-09 04:19:34,"Dear customer,

If we have shipped to that country, then we have shipped to every place in that country.

If you have any inquiries, please do not hesitate to contact us at any time. Would you please contact us at vipservice@yoins.com?

Best regards,
Yoins Team",2021-10-09 10:25:58,newest,com.yoinsapp
ef7c39f4-0434-470f-953e-fe566398b923,0.0,1.0,0.0,0.0,Radhika Jha,https://play-lh.googleusercontent.com/a/AATXAJzvpQ4JHuRC5X9IigbfzGB1Jzd0wCqv-paZk0o=mo,Do not deliver d product in india,1,0,,2021-10-04 05:03:36,"Dear customer,

We are sorry that due to logistics restrictions, we have not shipped to India at the moment.

Best regards,
Yoins Team",2021-10-05 07:39:40,newest,com.yoinsapp
5e63677e-31db-42a4-99b9-a8502889acd3,0.371,0.629,0.0,-0.6486,Jessica Mac Donald,https://play-lh.googleusercontent.com/a/AATXAJyTi0uBmnHbLBUPL6rM7NbvDxHvwRnS4YxgAYXW=mo,"Horrible,unrealiable customer service.Now I run the risk of having a £604 parcel destroyed.",1,9,6.18.0,2021-09-23 08:34:40,"Dear customer,

Thank you for choosing Yoins and we apologize for any inconvenience caused.

Due to insufficient information, and in order to safeguard your personal information. We regret to inform you that we are not able to assist you in a better way here. Would you please contact us at vipservice@yoins.com.

Best regards,
Yoins Team",2021-09-23 13:35:44,newest,com.yoinsapp
a79b4fb0-9885-4697-acbf-9b8feafda02f,0.0,1.0,0.0,0.0,Jasleen Kaur,https://play-lh.googleusercontent.com/a-/AOh14Gi0Uxjh0g4trFJzO6CCrb-DlyfhsMsa5HYzTxgC,They don't ship to India,1,0,,2021-09-16 15:08:17,"Dear customer,

We are sorry for the inconvenience caused to you. Due to logistics restrictions, we did not ship to India.

If you have any questions, please do not hesitate to contact us at vipservice@yoins.com

Best regards,
Yoins Team",2021-09-20 11:34:10,newest,com.yoinsapp
c8d3faf0-1a12-40a6-b236-e14583dc9244,0.306,0.694,0.0,-0.296,Anishé,https://play-lh.googleusercontent.com/a-/AOh14GhhAGoyB5plDZ5Jq8Ykh10NWg89TqUfo6nPqe7jsg,There's no delivery available in India,1,0,6.16.0,2021-08-01 22:13:34,"Dear customer,

We are sorry that due to logistics restrictions, we have not shipped to India at the moment.

Best regards,
Yoins Team",2021-08-05 10:40:32,newest,com.yoinsapp
