reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,sortOrder,appId
58f7e9a6-1804-4ad8-8fb4-7488c954ed04,Karl Rassmann,https://play-lh.googleusercontent.com/a/AATXAJw7GeI6t256_VMdW6A4Ej9UYS-Tea1bPKKKykLR=mo,"Every time I try to add a friend on here, it screws up. Instead of adding the friend, it forces me to text them a link to download the app, even if they already have it. On top of this, it adds MY area code to the number texted, and makes THEIR area code the following numbers, resulting in a number that doesn't exist. I've tried looking up guides but they all use pictures that look different from what I see when I open the app. I guess it just doesn't work on my phone :/",1,16438,2.22.12.77,2022-06-08 05:01:00,,,most_relevant,com.whatsapp
9b4f8a63-5c07-438f-8cc0-a9a2d0d1f888,Sarah Shirkey,https://play-lh.googleusercontent.com/a-/AOh14GhStGAxWCAyM-UJDBNCWWHi-L1Hts11utjghwz3bp8,"Transferred my old info to a new phone and I'm currently stuck in ""restoring media"" limbo. Two full days have gone by with no change. Running in the background, can't get it to stop, can't dismiss notification. Apparently it's a known issue but I can't fix it with any of the suggestions. And I can see all my old and backed up messages, so the backup worked, it just won't stop.",1,4380,2.22.11.82,2022-06-05 02:55:51,,,most_relevant,com.whatsapp
946b9394-42b5-4d70-83e6-613aff84885a,Meisam Rasouli,https://play-lh.googleusercontent.com/a-/AOh14GiGdF0j_FgFmnjN2qmuLJBYEzygxzBnNoNqqY-wJg,This is an outdated app with no cloud storage. All the data are saved to the phone instead of on a cloud storage. All the files are lost after a few days and you cannot download them again. You cannot edit or delete your messages without the receiver knowing. There is a 35MB limit on the size of the files you can send. More people should be abandoning this and using Telegram instead.,1,5633,2.22.11.82,2022-06-17 10:23:45,,,most_relevant,com.whatsapp
206d2b5b-8746-4779-9a6d-c6b503701495,Hemen Shah,https://play-lh.googleusercontent.com/a-/AOh14GhZogbKoZW1RRF921TxoI0Jzc8YcjX9yESz2rNSyQo,"Please stop sending notifications I've already closed. When a new message in an unrelated chat pops up, it resends every single chat to the notification bar. I am frustrated by it. No other messaging app I have faces this issue. I don't normally write reviews but this issue has existed for years and I don't see even a setting anywhere to fix it other than turning notifications completely off.",1,56,2.22.12.80,2022-06-20 06:55:08,,,most_relevant,com.whatsapp
c83d9224-c619-4941-92b2-545198219a2b,JED-SKETCH Artist,https://play-lh.googleusercontent.com/a-/AOh14Gjx5IF0biKflleODuiGtwoy5_DIFolPZ9gFSz2xAoM,It worked great for years but now none of my videos will send and it keeps telling me to restart my phone for the videos to send. I have restarted the phone 3 times already and I'm so done with this app. I also tried their help & contact system but it would not load even though I had perfect internet. So sad. I hope they can fix this issue.,1,331,2.22.12.80,2022-06-16 04:02:03,,,most_relevant,com.whatsapp
04016e2f-01f7-45fa-adc6-f8ea12df82c5,Fred Carriker,https://play-lh.googleusercontent.com/a-/AOh14Ghbmn_9ECtSw5eK2qaoEkPGQ426u2QXy0VjpLwNtA,"They just ruined whatsapp and desguised it as an upgrade. Previously you could send yourself a message and view it on your phone and the WhatsApp Web interface. They ""UPGRADED"" WhatsApp Web and now you cannot do that (you don't have to keep your phone connected). The two interfaces no longer sync with each other! The change also makes it less secure! Update: they fixed it for a couple days, but it's still broken again now for the past week!",1,3581,2.22.9.78,2022-04-28 20:19:24,,,most_relevant,com.whatsapp
038e4191-4028-40f3-8788-e666be73accd,Syl Naz,https://play-lh.googleusercontent.com/a/AATXAJyUNi9FOxSMSWFWjB_6Opfa3zt5oK4WPTLfeTal=mo,"With The recent update my phone doesn't load pictures, I checked the settings nothing changed. After a week of missing out on important images in my volunteer group, just in case I cleared my entire phone image (eventhough i had 2GB of free space) I then un-installed and re-installed the app to see if that fixed the problem. That didn't fix anything!! I've sent whatsapp msgs to Whatsapp help chat; you'll never get a response from a live person it clearly is a bot scanning your msgs 😡😡😡😡😡",1,800,2.22.8.79,2022-04-26 16:11:18,,,most_relevant,com.whatsapp
b7e50aa5-73cf-4974-8e3f-efc0fde13d61,BloodRose Reviews,https://play-lh.googleusercontent.com/a-/AOh14GiaeDuCdZySpkw5dYMosz_aZ3UoDf9-Vw_yhiR-JA,"In General, seems ok. However the computer version leaves a lot to be desired. There's no way to log in without having the phone app open too and scanning some box. Not everyone knows how to do that, me included. You should be able to just log into your account with your email and phone number once and be able to stay logged in. I don't like it at all, which is why I took stars away from it.",1,1709,2.22.6.72,2022-04-14 00:21:42,,,most_relevant,com.whatsapp
23a22818-dd36-465c-97d0-6d72408a2063,Milan Shah,https://play-lh.googleusercontent.com/a-/AOh14GjzqoVftirB_450uBjL_NxjKVtV4-3Ia_UaU6gaEw,"After the latest update, WhatsApp keep switching the storage (media) folder. Because of that, even though the sent/received (mainly sent) files are there in my phone storage (but sometimes in one folder and sometimes in another one), WhatsApp sometimes shows them in the chat and sometimes doesn't. It's irritating and frustrating. Please fix this bug at the earliest possible convenience 🙏🏻. Thank you!",1,5315,2.22.4.74,2022-02-27 17:54:52,,,most_relevant,com.whatsapp
6b704b7e-607f-4148-8f24-4ec5efd82397,Luigi Kapaj,https://play-lh.googleusercontent.com/a-/AOh14Ggh_KtlHsy2geZ_88SvOIdhczKFY2IMsKaTnHUz,"Attempting to switch phones is an absolute nightmare. The only way to restore from local backup is to uninstall & reinstall then locks you out for trying more than once (despite successful security check every time) only to ignore the local backup then use a very outdated cloud backup. Online help docs are convoluted and useless. ""Call me"" option is a do nothing placebo",1,1001,2.22.6.72,2022-03-26 19:28:06,,,most_relevant,com.whatsapp
f173aa29-99e3-488b-89e2-f3772b5cbfe3,Preston Williams III,https://play-lh.googleusercontent.com/a-/AOh14GiKOrfGmUtci9cPlo-XciRA-sAalrzX7WeURpfaSx4,"WhatsApp: Poor Implementation. Scanning a QR code to establish a connection between the Windows Desktop and a smartphone is a bit quirky and in this case, quite unreliable. This app is NOT a ""Real Desktop"" software application. It merely establishes an unstable wi-fi connection between a desktop / laptop and a smartphone. If the phone loses its wi-fi connection, the app simply stops working. Perhaps if you designed the app to work like a generic software application running on the Windows or Apple Operating System (OS) instead of a smartphone simulation maybe it will attract more users and garner a better rating.",1,2529,2.22.2.73,2022-02-01 10:19:24,,,most_relevant,com.whatsapp
119d5d04-9f4f-4a0d-9f00-49f12fa92294,Omer Gilad,https://play-lh.googleusercontent.com/a-/AOh14Gir73kBdGmSWKEs7tHelPHeCrn2Vp8phvjWXER0Rw,"Your device switching experience is the WORST. You made me lose valuable data without warning, due to a terrible device switching process. When I logged in from my new phone, the app on the old phone immediately cleared itself of all data, without notifying me of the option to back up chats, without a slight warning. There is no way back. This is DUMB, and very inappropriate for a company at your scale. I will try to avoid using WhatsApp for anything important from now on!",1,4274,2.22.4.74,2022-02-18 20:28:36,,,most_relevant,com.whatsapp
